stories_id,publish_date,title,url,language,ap_syndicated,themes,subtopics,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
656846849,##########,Obama DOJ Allowed Russian Lawyer Into The Country Under &#8216;Extraordinary Circumstances&#8217;,http://dailycaller.com/2017/07/13/obama-doj-allowed-russian-lawyer-into-the-country-under-extraordinary-circumstances/,en,FALSE,"politics and government, united states politics and government, frauds and swindling",,1,2223,2,1,18775,Daily Caller,http://dailycaller.com
671807030,##########,FBI Agents Reportedly Raided Paul Manafort&#8217;s Home Last Month,http://dailycaller.com/2017/08/09/fbi-agents-reportedly-raided-paul-manaforts-home-last-month/,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces, terrorism, crime and criminals",,1,7627,0,1,18775,Daily Caller,http://dailycaller.com
659888762,##########,Russian Lawyer Who Met With Don Jr. Wants To Testify To Congress,http://dailycaller.com/2017/07/19/russian-lawyer-who-met-with-don-jr-wants-to-testify-to-congress/,en,FALSE,"politics and government, united states politics and government",,1,8,1,1,18775,Daily Caller,http://dailycaller.com
692720884,##########,"After Don Jr. Story, Tim Kaine Says Russia Investigation Potentially Moving Toward Treason",http://dailycaller.com/2017/07/11/tim-kaine-trump-jr-meeting-with-russian-lawyer-possibly-treason-video/,en,FALSE,"politics and government, united states politics and government, elections, crime and criminals, ethics",,1,15091,2,1,18775,Daily Caller,http://dailycaller.com
697932602,##########,Emails Show Trump Jr. Knew Information May Have Come From Russian Government,http://dailycaller.com/2017/07/11/emails-show-trump-jr-knew-information-may-have-come-from-russian-government/,en,FALSE,politics and government,,1,1599,0,1,18775,Daily Caller,http://dailycaller.com
655832266,##########,Trump Jr. Claims He Would&#8217;ve Reported &#8216;Shady&#8217; Information [VIDEO],http://dailycaller.com/2017/07/11/trump-jr-claims-he-wouldve-reported-shady-information-video/,en,FALSE,"politics and government, computers and the internet",,1,15,0,1,18775,Daily Caller,http://dailycaller.com
873103127,##########,Russian Lawyer At Trump Tower Meeting Says She’s Willing To Talk To Congress Via @dailycaller,http://dailycaller.com/2017/07/19/russian-lawyer-at-trump-tower-meeting-says-shes-willing-to-talk-to-congress,en,FALSE,politics and government,,1,0,1,1,18775,Daily Caller,http://dailycaller.com
654721126,##########,Report: Russian Lawyer Secured Trump Tower Meeting By Promising Dirt On Hillary Clinton,http://dailycaller.com/2017/07/09/report-russian-lawyer-secured-trump-tower-meeting-by-promising-dirt-on-hillary-clinton/,en,FALSE,"politics and government, united states politics and government, elections",,1,2865,1,1,18775,Daily Caller,http://dailycaller.com
655270921,##########,Report: Trump Jr. Allegedly Said In Email Russia Was Behind Anti-Hillary Info,http://dailycaller.com/2017/07/10/report-trump-jr-allegedly-said-in-email-russia-was-behind-anti-hillary-info/,en,FALSE,"politics and government, united states politics and government, elections, news and news media, media",,1,403,0,1,18775,Daily Caller,http://dailycaller.com
567104345,##########,Former Trump Adviser Tells A Story About The President-Elect And Prostitutes,http://dailycaller.com/2017/01/14/former-trump-adviser-tells-a-story-about-the-president-elect-and-prostitutes/,en,FALSE,"politics and government, news and news media",,0,52,0,0,18775,Daily Caller,http://dailycaller.com
