stories_id,publish_date,title,url,language,ap_syndicated,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
657053780,7/13/17 21:43,"Six People Were Involved In The Trump Tower Meeting, But We Only Know About Five Of Them",http://dailycaller.com/2017/07/13/six-people-were-involved-in-the-trump-tower-meeting-but-we-only-know-about-five-of-them/,en,,1,672,0,1,18775,Daily Caller,
656140258,7/12/17 10:36,Trump Jr. Emails Prove Russia Collusion Story Is Even Dumber Than You Thought,http://dailycaller.com/2017/07/12/trump-jr-emails-prove-russia-collusion-story-is-even-dumber-than-you-thought/,en,,0,1561,1,0,18775,Daily Caller,
713247704,7/11/17 12:28,Russian Lawyer Denies Promise Of Damaging Info Ever Happened [VIDEO],http://dailycaller.com/2017/07/11/russian-lawyer-denies-promise-of-damaging-info-ever-happened-video/,en,,0,8,0,0,18775,Daily Caller,
656900446,7/13/17 15:24,Trump: Paris Will Be &#8216;Just Fine Because You Have A Great President&#8217;,http://dailycaller.com/2017/07/13/trump-paris-will-be-just-fine-because-you-have-a-great-president/,en,,0,543,0,0,18775,Daily Caller,
713193529,7/11/17 11:51,The Link Between Trump Jr. And The Russian Lawyer Is One Funny Guy,http://dailycaller.com/2017/07/11/the-link-between-trump-jr-and-the-russian-lawyer-is-one-funny-guy/,en,,0,221,0,0,18775,Daily Caller,
655138988,7/10/17 14:41,Conway Defends Previous Russia Denials After Don Jr. Meeting Revelation,http://dailycaller.com/2017/07/10/conway-defends-previous-russia-denials-after-don-jr-meeting-revelation/,en,,0,5,1,0,18775,Daily Caller,
697906333,7/14/17 8:00,Here’s What We Know About The Suspected Ex-Soviet Intel Officer Who Attended Trump Tower Meeting,http://dailycaller.com/2017/07/14/heres-what-we-know-about-the-suspected-ex-soviet-intel-officer-who-attended-trump-tower-meeting/,en,,0,264,1,0,18775,Daily Caller,
656173395,7/12/17 11:25,Does The Steele Dossier Describe What Happened In Trump Tower Meeting?,http://dailycaller.com/2017/07/12/does-the-steele-dossier-describe-what-happened-in-trump-tower-meeting/,en,,0,13,0,0,18775,Daily Caller,
655172671,7/10/17 16:16,Trump Jr. &#8216;Happy&#8217; To Cooperate With Senate Intel Committee,http://dailycaller.com/2017/07/10/trump-jr-happy-to-cooperate-with-senate-intel-committee/,en,,0,581,0,0,18775,Daily Caller,
654712628,7/9/17 17:08,Trump Jr. met with Russian lawyer to get dirt on Hillary: report,http://nypost.com/2017/07/09/trump-jr-met-with-russian-lawyer-to-get-dirt-on-hillary/,en,,4,4799,0,4,7,NY Post,
655746011,7/11/17 17:57,Billionaire linked to Trump email scandal selling his NJ mansion,http://nypost.com/2017/07/11/billionaire-linked-to-trump-email-scandal-selling-his-nj-mansion/,en,,1,155,0,1,7,NY Post,
655354853,7/11/17 3:06,Man who arranged Trump Jr. Russia meeting posted suspicious photo,http://nypost.com/2017/07/11/man-who-arranged-trump-jr-russia-meeting-posted-suspicious-photo/,en,,1,699,1,1,7,NY Post,
655846351,7/11/17 23:49,Why the latest Russia story is just another Trump witch hunt,http://nypost.com/2017/07/11/why-the-latest-russia-story-is-just-another-trump-witch-hunt/,en,,1,1234,0,1,7,NY Post,
655183432,7/10/17 17:00,Trump Jr. lawyers up after sketchy Russia meeting exposed,http://nypost.com/2017/07/10/trump-jr-lawyers-up-after-sketchy-russia-meeting-exposed/,en,,0,155,0,0,7,NY Post,
963412131,7/11/17 15:26,Trump Jr. reveals email exchange claiming Kremlin support for his dad,https://nypost.com/2017/07/11/trump-jr-reveals-email-exchange-claiming-kremlin-support-for-his-dad/?mod=article_inline,en,,0,0,0,0,7,NY Post,
